Engine Size(L),Cylinders,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Automated Manual,Automatic,Automatic with Select Shift,Continuously Variable,Manual,Diesel,Ethanol(E85),Premium Gasoline,Regular Gasoline
3.0,6,11.9,8.0,28,232,0,1,0,0,0,0,0,1,0
4.4,8,15.0,9.8,22,292,0,1,0,0,0,0,0,1,0
4.4,8,14.4,9.6,23,281,0,1,0,0,0,0,0,1,0
4.4,8,15.0,9.8,22,292,0,1,0,0,0,0,0,1,0
3.0,6,12.5,8.6,26,246,0,1,0,0,0,0,0,1,0
4.4,8,15.0,9.8,22,292,0,1,0,0,0,0,0,1,0
4.4,8,15.0,9.8,22,292,0,1,0,0,0,0,0,1,0
6.0,12,18.7,11.5,18,356,0,1,0,0,0,0,0,1,0
3.0,6,9.2,7.1,34,191,0,1,0,0,0,0,0,1,0
3.0,6,10.5,7.9,30,214,0,1,0,0,0,0,0,1,0
3.0,6,10.5,7.6,31,212,0,1,0,0,0,0,0,1,0
4.4,8,15.0,9.8,22,292,0,1,0,0,0,0,0,1,0
4.4,8,15.0,9.8,22,292,0,1,0,0,0,0,0,1,0
4.4,8,17.3,11.5,19,338,1,0,0,0,0,0,0,1,0
4.4,8,16.2,10.9,20,317,0,0,0,0,1,0,0,1,0
4.4,8,17.3,11.5,19,338,1,0,0,0,0,0,0,1,0
4.4,8,16.2,10.9,20,317,0,0,0,0,1,0,0,1,0
4.4,8,17.3,11.5,19,338,1,0,0,0,0,0,0,1,0
4.4,8,16.2,10.9,20,317,0,0,0,0,1,0,0,1,0
4.4,8,17.3,11.5,19,338,1,0,0,0,0,0,0,1,0
4.4,8,16.2,10.9,20,317,0,0,0,0,1,0,0,1,0
2.0,4,10.6,7.2,31,209,0,1,0,0,0,0,0,1,0
3.0,6,13.2,8.9,25,260,0,1,0,0,0,0,0,1,0
2.0,4,11.2,8.5,28,230,0,1,0,0,0,0,0,1,0
3.0,6,12.6,9.1,26,253,0,1,0,0,0,0,0,1,0
3.0,6,12.9,8.8,25,255,0,1,0,0,0,0,0,1,0
4.4,8,16.3,10.9,20,320,0,1,0,0,0,0,0,1,0
4.4,8,18.1,13.7,18,370,0,1,0,0,0,0,0,1,0
3.0,6,13.6,9.8,24,274,0,1,0,0,0,0,0,1,0
4.4,8,16.4,11.3,20,324,0,1,0,0,0,0,0,1,0
2.0,4,10.8,7.1,31,209,0,1,0,0,0,0,0,1,0
2.0,4,10.4,6.7,32,200,0,0,0,0,1,0,0,1,0
3.0,6,13.7,10.1,23,278,1,0,0,0,0,0,0,1,0
3.0,6,12.7,9.0,26,253,0,0,0,0,1,0,0,1,0
3.0,6,13.7,10.1,23,278,1,0,0,0,0,0,0,1,0
3.6,6,14.3,9.9,23,283,0,1,0,0,0,0,0,0,1
3.6,6,14.6,10.2,22,290,0,1,0,0,0,0,0,0,1
1.4,4,9.5,7.2,33,196,0,0,1,0,0,0,0,0,1
1.4,4,10.2,8.0,31,212,0,0,1,0,0,0,0,0,1
3.6,6,13.7,8.7,25,264,0,0,1,0,0,0,0,0,1
3.6,6,18.4,12.2,18,250,0,0,1,0,0,0,1,0,0
3.6,6,13.7,8.9,25,264,0,0,1,0,0,0,0,0,1
3.6,6,19.4,13.0,17,264,0,0,1,0,0,0,1,0,0
2.4,4,9.6,6.5,34,189,0,0,1,0,0,0,0,0,1
2.0,4,11.5,7.9,29,228,0,0,1,0,0,0,0,1,0
2.0,4,11.6,7.5,29,225,0,0,0,0,1,0,0,1,0
2.0,4,12.3,8.7,26,246,0,0,1,0,0,0,0,1,0
2.4,4,9.6,6.5,34,189,0,0,1,0,0,0,0,0,1
2.0,4,11.5,7.9,29,228,0,0,1,0,0,0,0,1,0
2.0,4,11.6,7.5,29,225,0,0,0,0,1,0,0,1,0
2.4,4,11.3,7.4,30,218,0,0,1,0,0,0,0,0,1
2.0,4,11.3,7.5,29,221,0,0,1,0,0,0,0,1,0
2.0,4,12.1,7.9,28,235,0,0,0,0,1,0,0,1,0
2.5,4,10.5,7.2,31,207,0,0,1,0,0,0,0,0,1
3.6,6,12.8,8.5,26,251,0,0,1,0,0,0,0,0,1
2.0,4,11.8,8.1,28,232,0,0,1,0,0,0,0,1,0
3.6,6,13.1,9.0,25,260,0,0,1,0,0,0,0,0,1
3.6,6,13.2,8.7,25,258,0,0,1,0,0,0,0,0,1
3.6,6,13.3,9.0,25,262,0,0,1,0,0,0,0,0,1
2.0,4,11.9,7.9,28,232,0,0,1,0,0,0,0,1,0
3.6,6,12.9,8.2,26,248,0,0,1,0,0,0,0,0,1
2.0,4,12.6,8.5,26,248,0,0,1,0,0,0,0,1,0
3.6,6,13.1,9.0,25,260,0,0,1,0,0,0,0,0,1
3.6,6,15.1,9.9,22,294,0,0,1,0,0,0,0,1,0
3.0,6,12.7,8.9,26,253,0,0,1,0,0,0,0,0,1
3.6,6,13.3,8.9,25,260,0,0,1,0,0,0,0,0,1
3.0,6,12.8,9.1,25,255,0,0,1,0,0,0,0,0,1
3.6,6,13.3,9.0,25,262,0,0,1,0,0,0,0,0,1
6.2,8,19.7,12.9,17,382,0,0,1,0,0,0,0,1,0
6.2,8,16.7,12.5,19,340,0,0,0,0,1,0,0,1,0
6.2,8,19.7,12.9,17,382,0,0,1,0,0,0,0,1,0
6.2,8,16.7,12.5,19,340,0,0,0,0,1,0,0,1,0
6.2,8,19.7,12.9,17,382,0,0,1,0,0,0,0,1,0
6.2,8,16.7,12.5,19,340,0,0,0,0,1,0,0,1,0
6.2,8,17.0,11.8,19,338,0,1,0,0,0,0,0,1,0
6.2,8,23.3,16.1,14,322,0,1,0,0,0,0,1,0,0
6.2,8,18.8,13.4,17,377,0,1,0,0,0,0,0,1,0
6.2,8,25.7,17.8,13,354,0,1,0,0,0,0,1,0,0
3.6,6,14.3,9.8,23,283,0,0,1,0,0,0,0,0,1
3.6,6,14.8,10.4,22,294,0,0,1,0,0,0,0,0,1
3.6,6,13.6,8.6,25,262,0,0,1,0,0,0,0,0,1
3.6,6,14.0,9.1,24,271,0,0,1,0,0,0,0,0,1
3.6,6,14.8,9.8,22,290,0,0,1,0,0,0,0,1,0
3.6,6,13.2,8.7,25,258,0,0,1,0,0,0,0,0,1
3.6,6,14.2,8.6,24,269,0,0,0,0,1,0,0,0,1
3.6,6,12.7,7.9,27,242,0,0,1,0,0,0,0,0,1
6.2,8,15.3,9.8,22,294,0,0,1,0,0,0,0,1,0
6.2,8,15.0,9.9,22,292,0,0,0,0,1,0,0,1,0
6.2,8,19.7,12.9,17,382,0,0,1,0,0,0,0,1,0
6.2,8,16.7,12.5,19,340,0,0,0,0,1,0,0,1,0
6.2,8,14.9,8.5,24,276,0,0,1,0,0,0,0,1,0
6.2,8,13.7,8.2,25,258,0,0,0,0,1,0,0,1,0
1.4,4,9.1,6.3,36,179,0,0,1,0,0,0,0,0,1
1.4,4,9.1,6.3,36,179,0,0,0,0,1,0,0,0,1
1.8,4,10.5,6.7,32,202,0,0,1,0,0,0,0,0,1
1.8,4,9.5,6.5,34,189,0,0,0,0,1,0,0,0,1
2.0,4,8.7,5.1,40,192,0,0,1,0,0,1,0,0,0
1.4,4,9.1,6.0,37,177,0,1,0,0,0,0,0,0,1
1.4,4,8.4,5.6,40,163,0,0,0,0,1,0,0,0,1
2.4,4,10.5,7.3,31,209,0,1,0,0,0,0,0,0,1
3.6,6,13.9,9.6,24,276,0,1,0,0,0,0,0,0,1
3.6,6,18.8,13.1,17,259,0,1,0,0,0,0,1,0,0
2.4,4,11.5,8.2,28,230,0,1,0,0,0,0,0,0,1
3.6,6,14.8,9.9,22,290,0,1,0,0,0,0,0,0,1
3.6,6,19.8,13.6,17,272,0,1,0,0,0,0,1,0,0
4.3,6,17.1,12.7,19,347,0,1,0,0,0,0,0,0,1
5.3,8,18.0,13.4,18,366,0,1,0,0,0,0,0,0,1
5.3,8,23.5,17.7,14,334,0,1,0,0,0,0,1,0,0
5.3,8,18.3,14.2,17,380,0,1,0,0,0,0,0,0,1
5.3,8,23.7,18.8,13,344,0,1,0,0,0,0,1,0,0
5.3,8,18.6,13.9,17,380,0,1,0,0,0,0,0,0,1
5.3,8,23.9,18.5,13,344,0,1,0,0,0,0,1,0,0
5.3,8,18.3,14.2,17,380,0,1,0,0,0,0,0,0,1
5.3,8,25.3,19.3,12,362,0,1,0,0,0,0,1,0,0
5.3,8,18.6,13.9,17,380,0,1,0,0,0,0,0,0,1
5.3,8,23.9,18.5,13,344,0,1,0,0,0,0,1,0,0
5.3,8,18.3,14.2,17,380,0,1,0,0,0,0,0,0,1
5.3,8,25.3,19.3,12,362,0,1,0,0,0,0,1,0,0
4.8,8,21.1,14.2,16,414,0,1,0,0,0,0,0,0,1
6.0,8,21.9,15.0,15,432,0,1,0,0,0,0,0,0,1
6.0,8,30.0,20.4,11,411,0,1,0,0,0,0,1,0,0
4.8,8,21.3,14.3,16,419,0,1,0,0,0,0,0,0,1
6.0,8,22.1,15.0,15,435,0,1,0,0,0,0,0,0,1
6.0,8,30.2,20.5,11,413,0,1,0,0,0,0,1,0,0
2.5,4,11.3,7.5,29,221,0,0,1,0,0,0,0,0,1
3.6,6,12.6,8.2,27,244,0,0,1,0,0,0,0,0,1
3.6,6,16.7,11.3,20,229,0,0,1,0,0,0,1,0,0
2.4,4,10.0,7.0,32,200,0,0,1,0,0,0,0,0,1
2.0,4,11.5,7.9,29,228,0,0,1,0,0,0,0,1,0
2.5,4,9.3,6.4,35,184,0,0,1,0,0,0,0,0,1
2.4,4,12.2,8.6,27,244,0,0,1,0,0,0,0,0,1
2.4,4,11.8,8.3,28,235,0,0,0,0,1,0,0,0,1
4.3,6,13.4,9.9,24,271,0,1,0,0,0,0,0,0,1
4.3,6,18.9,14.2,17,269,0,1,0,0,0,0,1,0,0
5.3,8,14.6,10.3,22,292,0,1,0,0,0,0,0,0,1
5.3,8,19.5,13.7,17,270,0,1,0,0,0,0,1,0,0
6.2,8,16.3,11.4,20,324,0,1,0,0,0,0,0,1,0
4.3,6,14.2,10.6,22,290,0,1,0,0,0,0,0,0,1
4.3,6,20.0,15.1,16,285,0,1,0,0,0,0,1,0,0
5.3,8,14.9,10.6,22,299,0,1,0,0,0,0,0,0,1
5.3,8,19.9,14.2,16,277,0,1,0,0,0,0,1,0,0
6.2,8,16.4,11.7,20,329,0,1,0,0,0,0,0,1,0
1.4,4,9.1,6.7,35,184,0,0,1,0,0,0,0,0,1
1.4,4,8.5,6.2,38,173,0,0,0,0,1,0,0,0,1
1.8,4,9.6,6.6,34,191,0,0,1,0,0,0,0,0,1
1.8,4,8.9,6.7,36,182,0,0,0,0,1,0,0,0,1
1.4,4,9.4,7.0,34,191,0,0,1,0,0,0,0,0,1
1.4,4,8.8,7.0,35,184,0,0,0,0,1,0,0,0,1
1.4,4,9.1,6.7,35,184,0,0,1,0,0,0,0,0,1
1.4,4,8.5,6.2,38,172,0,0,0,0,1,0,0,0,1
1.8,4,9.6,6.6,34,191,0,0,1,0,0,0,0,0,1
1.8,4,8.9,6.7,36,182,0,0,0,0,1,0,0,0,1
1.4,4,9.4,7.0,34,191,0,0,1,0,0,0,0,0,1
1.4,4,8.8,7.0,35,184,0,0,0,0,1,0,0,0,1
1.2,4,7.7,6.0,41,159,0,0,0,1,0,0,0,0,1
1.2,4,7.6,6.0,41,159,0,0,0,0,1,0,0,0,1
5.3,8,16.0,11.1,20,317,0,1,0,0,0,0,0,0,1
5.3,8,21.5,14.6,15,294,0,1,0,0,0,0,1,0,0
5.3,8,16.0,11.1,20,317,0,1,0,0,0,0,0,0,1
5.3,8,21.5,14.6,15,294,0,1,0,0,0,0,1,0,0
5.3,8,16.0,11.1,20,317,0,1,0,0,0,0,0,0,1
5.3,8,21.5,14.6,15,294,0,1,0,0,0,0,1,0,0
5.3,8,16.0,11.1,20,317,0,1,0,0,0,0,0,0,1
5.3,8,21.5,14.6,15,294,0,1,0,0,0,0,1,0,0
3.6,6,14.3,9.9,23,283,0,1,0,0,0,0,0,0,1
3.6,6,14.6,10.2,22,290,0,1,0,0,0,0,0,0,1
1.4,4,9.4,7.1,34,193,0,0,1,0,0,0,0,0,1
1.4,4,9.1,6.8,35,186,0,0,0,0,1,0,0,0,1
1.4,4,10.0,7.8,31,207,0,0,1,0,0,0,0,0,1
3.6,6,12.4,7.7,27,237,0,1,0,0,0,0,0,0,1
2.4,4,11.7,8.2,28,232,0,1,0,0,0,0,0,0,1
2.4,4,12.9,8.1,26,246,0,1,0,0,0,0,0,0,1
3.6,6,12.5,8.1,27,242,0,1,0,0,0,0,0,0,1
3.6,6,17.0,11.2,20,230,0,1,0,0,0,0,1,0,0
2.4,4,11.2,8.0,29,225,0,1,0,0,0,0,0,0,1
2.4,4,12.0,7.6,28,230,0,1,0,0,0,0,0,0,1
3.6,6,12.5,8.1,27,242,0,1,0,0,0,0,0,0,1
3.6,6,17.0,11.2,20,230,0,1,0,0,0,0,1,0,0
5.7,8,15.8,9.2,22,294,0,1,0,0,0,0,0,0,1
3.6,6,12.8,8.6,26,251,0,1,0,0,0,0,0,0,1
5.7,8,16.1,10.0,21,308,0,1,0,0,0,0,0,0,1
3.6,6,12.8,8.6,26,251,0,1,0,0,0,0,0,0,1
3.6,6,17.3,11.7,19,237,0,1,0,0,0,0,1,0,0
3.6,6,12.4,7.7,27,237,0,1,0,0,0,0,0,0,1
3.6,6,16.8,10.3,20,222,0,1,0,0,0,0,1,0,0
6.4,8,16.7,10.3,20,317,0,1,0,0,0,0,0,1,0
3.6,6,14.1,9.5,24,276,0,1,0,0,0,0,0,0,1
3.6,6,19.7,13.3,17,269,0,1,0,0,0,0,1,0,0
2.4,4,11.2,8.0,29,225,0,1,0,0,0,0,0,0,1
2.4,4,12.0,7.6,28,230,0,1,0,0,0,0,0,0,1
3.6,6,12.5,8.1,27,242,0,1,0,0,0,0,0,0,1
3.6,6,17.0,11.2,20,230,0,1,0,0,0,0,1,0,0
3.6,6,13.2,8.7,25,258,0,1,0,0,0,0,0,0,1
5.7,8,15.6,10.0,22,301,0,0,0,0,1,0,0,0,1
5.7,8,15.8,9.2,22,294,0,1,0,0,0,0,0,0,1
6.4,8,16.8,10.4,20,320,0,0,0,0,1,0,0,1,0
6.4,8,16.7,10.3,20,317,0,1,0,0,0,0,0,1,0
3.6,6,13.2,8.7,25,258,0,1,0,0,0,0,0,0,1
3.6,6,12.4,7.7,27,237,0,1,0,0,0,0,0,0,1
5.7,8,15.8,9.2,22,294,0,1,0,0,0,0,0,0,1
3.6,6,12.8,8.6,26,251,0,1,0,0,0,0,0,0,1
5.7,8,16.1,10.0,21,308,0,1,0,0,0,0,0,0,1
3.6,6,12.8,8.6,26,251,0,1,0,0,0,0,0,0,1
3.6,6,17.3,11.7,19,237,0,1,0,0,0,0,1,0,0
3.6,6,13.2,8.7,25,258,0,1,0,0,0,0,0,0,1
3.6,6,18.3,12.6,18,251,0,1,0,0,0,0,1,0,0
3.6,6,12.3,7.6,28,235,0,1,0,0,0,0,0,0,1
3.6,6,16.8,10.3,20,222,0,1,0,0,0,0,1,0,0
6.4,8,16.7,10.3,20,317,0,1,0,0,0,0,0,1,0
2.0,4,9.4,6.5,35,186,0,0,0,0,1,0,0,0,1
2.4,4,10.1,6.8,33,198,0,1,0,0,0,0,0,0,1
2.4,4,10.5,6.7,32,202,0,0,0,0,1,0,0,0,1
2.0,4,9.9,7.0,33,198,0,1,0,0,0,0,0,0,1
2.0,4,14.2,9.8,23,195,0,1,0,0,0,0,1,0,0
2.4,4,10.6,7.5,31,212,0,1,0,0,0,0,0,0,1
2.4,4,10.2,7.0,32,202,0,0,0,0,1,0,0,0,1
1.4,4,8.4,5.9,39,168,1,0,0,0,0,0,0,0,1
1.4,4,8.5,5.8,39,168,0,0,0,0,1,0,0,0,1
5.7,8,17.3,10.8,20,331,0,1,0,0,0,0,0,0,1
3.6,6,13.9,9.8,23,278,0,1,0,0,0,0,0,0,1
3.6,6,17.7,13.0,18,250,0,1,0,0,0,0,1,0,0
3.6,6,13.7,9.4,24,271,0,1,0,0,0,0,0,0,1
3.6,6,19.2,13.1,17,264,0,1,0,0,0,0,1,0,0
2.4,4,12.7,9.1,25,255,0,1,0,0,0,0,0,0,1
3.6,6,14.5,9.9,23,285,0,1,0,0,0,0,0,0,1
3.6,6,14.2,9.4,24,276,0,1,0,0,0,0,0,0,1
3.6,6,18.9,12.9,17,259,0,1,0,0,0,0,1,0,0
1.4,4,8.5,6.9,36,179,0,0,0,0,1,0,0,0,1
1.4,4,8.5,6.9,36,179,0,0,0,0,1,0,0,0,1
1.4,4,8.7,6.9,36,182,0,1,0,0,0,0,0,0,1
1.4,4,7.9,6.3,39,166,0,0,0,0,1,0,0,0,1
1.4,4,8.5,6.9,36,179,0,0,0,0,1,0,0,0,1
1.4,4,8.7,6.9,36,182,0,1,0,0,0,0,0,0,1
1.4,4,7.6,5.9,42,156,0,0,0,0,1,0,0,0,1
1.4,4,8.5,6.9,36,179,0,0,0,0,1,0,0,0,1
1.4,4,10.0,7.2,32,200,1,0,0,0,0,0,0,0,1
1.4,4,9.3,7.2,34,193,0,0,0,0,1,0,0,0,1
2.0,4,5.6,6.4,47,138,0,0,0,1,0,0,0,0,1
4.6,8,17.7,14.4,17,373,0,1,0,0,0,0,0,0,1
4.6,8,24.1,19.2,13,350,0,1,0,0,0,0,1,0,0
5.4,8,19.3,14.7,16,396,0,1,0,0,0,0,0,0,1
5.4,8,24.9,19.6,13,360,0,1,0,0,0,0,1,0,0
4.6,8,18.6,14.6,17,386,0,1,0,0,0,0,0,0,1
4.6,8,25.5,20.0,12,368,0,1,0,0,0,0,1,0,0
6.8,10,23.9,17.8,13,488,0,1,0,0,0,0,0,0,1
5.4,8,20.6,15.5,15,421,0,1,0,0,0,0,0,0,1
5.4,8,26.7,20.5,12,382,0,1,0,0,0,0,1,0,0
2.0,4,11.3,7.9,29,225,0,1,0,0,0,0,0,0,1
3.5,6,12.6,8.7,26,248,0,0,1,0,0,0,0,0,1
3.5,6,13.3,9.3,25,264,0,0,1,0,0,0,0,0,1
3.7,6,13.7,10.4,23,281,0,0,1,0,0,0,0,0,1
1.6,4,10.4,7.4,31,209,0,0,1,0,0,0,0,0,1
2.0,4,10.9,8.0,29,221,0,0,1,0,0,0,0,0,1
2.5,4,10.9,7.5,30,216,0,0,1,0,0,0,0,0,1
1.6,4,10.5,7.9,30,214,0,0,1,0,0,0,0,0,1
2.0,4,11.2,8.5,28,230,0,0,1,0,0,0,0,0,1
5.4,8,18.2,13.3,18,368,0,1,0,0,0,0,0,0,1
5.4,8,24.5,18.0,13,346,0,1,0,0,0,0,1,0,0
2.0,4,11.8,8.3,28,235,0,1,0,0,0,0,0,0,1
3.5,6,14.8,10.7,22,299,0,0,1,0,0,0,0,0,1
3.5,6,13.7,9.7,24,274,0,0,1,0,0,0,0,0,1
3.5,6,18.3,12.9,18,254,0,0,1,0,0,0,1,0,0
3.5,6,14.3,10.3,23,288,0,0,1,0,0,0,0,0,1
3.5,6,18.9,13.9,17,267,0,0,1,0,0,0,1,0,0
3.5,6,14.5,10.6,22,292,0,1,0,0,0,0,0,0,1
3.5,6,14.6,10.6,22,294,0,0,1,0,0,0,0,0,1
6.2,8,18.3,12.9,18,366,0,0,1,0,0,0,0,0,1
3.5,6,15.9,11.3,20,317,0,1,0,0,0,0,0,0,1
3.5,6,15.4,11.0,21,308,0,0,1,0,0,0,0,0,1
6.2,8,20.1,14.4,16,402,0,0,1,0,0,0,0,0,1
3.7,6,14.0,10.3,23,283,0,1,0,0,0,0,0,0,1
3.7,6,18.8,13.7,17,264,0,1,0,0,0,0,1,0,0
3.7,6,14.0,10.3,23,283,0,0,1,0,0,0,0,0,1
3.7,6,18.8,13.7,17,264,0,0,1,0,0,0,1,0,0
5.0,8,16.4,12.3,19,336,0,1,0,0,0,0,0,0,1
